"Threat name: GandCrab.exe 
Threat ID: 1305271162696709733 
Mitigation name: remediate 
Mitigation Status: success"
Timestamp (UTC),Path,Registry Key,Status
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs2\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.238+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Internet Explorer\UserData\Low\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Crypto\RSA\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs14\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs11\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs14\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs13\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs13\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Videos\Captures\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs12\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs10\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\OneDrive\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs12\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.191+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs10\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs1\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs1\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Start Menu\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs0\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\docs0\KRAB-DECRYPT.txt,,success
